"","prov","ninos_bajoPesoNacer","ind_VIA","ninos_desnuCroni","ninos_anem","ind_DdE","ind_DDHH","deve_activi","deve_inver"
"1","BAGUA",6.4066852367688,0.519479274749756,24.897381457891,22.1662468513854,0.649202856777717,0.461036224246138,4747.48613647946,1050.07668881867
"2","BONGARÁ",4.98753117206983,0.509355187416077,20.0875752599891,11.9205298013245,0.716390890220421,0.4128954525726,818.668762570308,1288.0695953639
"3","CHACHAPOYAS",8.76747141041931,0.39617508649826,13.6941813261164,34.1414141414141,0.767278998632085,0.542665288299619,14782.9067665424,5186.63721759991
"4","CONDORCANQUI",10.352422907489,0.690789043903351,41.4606314187904,42.9778247096093,0.408828965702124,0.2534515691766,2055.77774562513,596.421671278727
"5","LUYA",5.97738287560582,0.582215249538422,19.3823216187433,22.6966292134831,0.705204486664951,0.341050239505418,1208.53138489385,1797.18662403841
"6","RODRÍGUEZ DE MENDOZA",7.40740740740741,0.59198123216629,14.9260628465804,20.5533596837945,0.674197729182214,0.366407435251007,895.087097867491,2093.4965747878
"7","UTCUBAMBA",6.81179775280899,0.531391978263855,14.9071859697073,16.5680473372781,0.693749408810203,0.470118925777447,1958.24524759507,682.394622116652
"8","CAJABAMBA",9.66514459665145,0.646451771259308,31.946673250216,48.5927152317881,0.665060394442928,0.350381975931075,1340.76474504139,614.545165731429
"9","CAJAMARCA",9.26895481869304,0.453529119491577,29.4942262114871,24.7185590221936,0.747007097195902,0.535394003901843,7684.86727516458,556.981640578454
"10","CELENDÍN",9.90909090909091,0.711815476417542,27.5192604006163,26.6592920353982,0.653067871631563,0.322969234443926,1689.98986972945,461.782102399183
"11","CHOTA",7.63187429854097,0.665040075778961,23.2591189009948,28.6666666666667,0.6855374882134,0.360510072551923,2026.87255374925,1587.4376148586
"12","CONTUMAZÁ",6.22710622710623,0.574016809463501,14.8915187376726,23.2558139534884,0.659510831470299,0.422103348701852,2216.32877939341,1073.94815728214
"13","CUTERVO",8.7685364281109,0.65541684627533,19.3901485535575,22.6877470355731,0.658873635175849,0.354765665560503,2143.56885947717,1043.15088096839
"14","HUALGAYOC",8.34752981260647,0.626527965068817,29.0200591910556,35.4445797807552,0.67028780834506,0.369343332788354,1787.90920035193,501.348305321989
"15","JAÉN",7.00227100681302,0.503219723701477,16.4083583930912,27.9467130031856,0.690882289980988,0.494398319418157,2231.04717453285,575.056053336333
"16","SAN IGNACIO",6.91168403730115,0.624874472618103,25.8200611749815,27.3636363636364,0.665181262962315,0.359697614389447,1855.56443899436,533.692744365196
"17","SAN MARCOS",10.5670103092784,0.668969035148621,31.1780553514573,12.0643431635389,0.670938912464002,0.338971877022097,1559.62920586966,831.320733016832
"18","SAN MIGUEL",8.74751491053678,0.590519368648529,25.7911860396332,32.9741379310345,0.668015427812079,0.370704804639486,2139.06065751568,1329.82530644524
"19","SAN PABLO",6.05187319884726,0.695381045341492,33.7552742616034,15.0234741784038,0.659078653920534,0.312599948625524,2007.67702011527,500.141856941105
"20","SANTA CRUZ",6.61157024793388,0.658909678459168,19.0647482014388,25.1851851851852,0.68359305737177,0.390976160229844,2559.33766468857,1559.379653832
"21","ASCOPE",6.55624568668047,0.223926067352295,12.1017156862745,28.7361419068736,0.789060181916749,0.584927811478705,1415.11338014065,646.723472651226
"22","BOLÍVAR",4.84581497797357,0.652330458164215,27.0666666666667,63.9784946236559,0.704577066313888,0.294998261362244,4888.51419096949,3278.98551289269
"23","CHEPÉN",4.82160077145612,0.258895337581634,13.1985098456626,10.9710896960712,0.759130859057815,0.558693646146731,1495.84544671364,664.303315150925
"24","GRAN CHIMÚ",6.26780626780627,0.562236607074738,24.3093922651934,35.2760736196319,0.650975960684004,0.372397790744179,2272.27422894044,778.531967808263
"25","JULCÁN",10.0603621730382,0.648400485515595,34.04,52.9880478087649,0.620660186931297,0.21955269163205,2152.02152446389,1164.23391797955
"26","OTUZCO",7.94930875576037,0.60022121667862,32.2768974145121,51.4309415180423,0.680308480707843,0.278322949710468,1626.20727197046,874.544438067442
"27","PACASMAYO",4.82388973966309,0.214323401451111,9.88505747126437,18.4960298925736,0.759243526772734,0.57922443766549,2126.19041809508,645.549754675228
"28","PATAZ",6.83491062039958,0.626408457756043,26.1526017794554,71.0989678202793,0.707513228137543,0.392855935777298,2251.1525790081,1080.06977215995
"29","SÁNCHEZ CARRIÓN",7.93374019180471,0.697629570960999,35.6287425149701,41.6293643688451,0.658947716046773,0.28632748315696,1584.46161228644,957.595118731882
"30","SANTIAGO DE CHUCO",8.22320117474302,0.653629422187806,29.6343810134702,57.8947368421053,0.675307281871215,0.352373208439143,2430.36634076596,3044.41892477562
"31","TRUJILLO",5.80020630008728,0.179093897342682,8.65680606652151,23.514981601542,0.812191223405999,0.639914596032168,3137.99853913833,325.754240154195
"32","VIRÚ",5.35045478865704,0.400421619415283,9.58404802744425,28.739837398374,0.704026306078089,0.500233557710893,1207.5694623526,1007.23283431056
"33","CHICLAYO",6.97277095568607,0.191648900508881,12.0306086251457,30.0698361536395,0.809161385509937,0.578176327430654,2795.88670483996,381.930362046864
"34","FERREÑAFE",6.22222222222222,0.433622598648071,29.4461272176547,52.0414031052329,0.678807079053658,0.423008219796997,1256.05864933109,802.071237514016
"35","LAMBAYEQUE",6.09496810772502,0.397710382938385,20.9443099273608,40.4596924116951,0.683804490629717,0.477565771225824,2290.26038107886,488.10570817977
"36","ALTO AMAZONAS",8.38439213157046,0.518692970275879,19.683908045977,41.5977961432507,0.588452823860314,0.435779309053746,2344.12657768016,1057.76988634074
"37","DATEM DEL MARAÑÓN",9.102402022756,0.685814380645752,31.0700813976573,39.5622895622895,0.409549370064305,0.319824439511323,2486.26276345137,1011.07998270807
"38","LORETO",8.32072617246596,0.619433343410492,28.7858635759073,37.2993389990557,0.500143100531427,0.363538669551432,6228.28262975779,1376.34410835791
"39","MARISCAL RAMÓN CASTILLA",6.93153000845309,0.634149312973023,23.1570721542068,29.8305084745763,0.502192427367203,0.351602495483565,1350.11234850153,319.163283302752
"40","MAYNAS",9.09466721785862,0.386589467525482,21.2329814899801,36.4375101576467,0.690351686315908,0.563807716920938,4028.32852185952,706.586449325958
"41","PUTUMAYO",10.3174603174603,0.630309402942658,18.8284518828452,23.0769230769231,0.417886913686234,0.398934666479894,2500.61314264893,995.549621060303
"42","REQUENA",5.99343185550082,0.604933857917786,27.1994843699645,40.5120481927711,0.539245648607371,0.377398345687469,1926.28312784553,634.713568879192
"43","UCAYALI",8.31275720164609,0.578295946121216,26.2253108997805,43.8380281690141,0.579013201452882,0.400057915393813,2223.87697507064,790.80932843901
"44","AYABACA",5.48029556650246,0.671746909618378,32.727768189663,36.2920168067227,0.592089066663871,0.249814133319148,1903.62700911323,1663.25143618767
"45","HUANCABAMBA",6.41638225255973,0.706886887550354,37.4559262272851,42.7224272242722,0.617393971317849,0.264839997694202,2009.45202151868,3101.94916208235
"46","MORROPÓN",7.5302554908113,0.485206484794617,16.2375197057278,23.3082706766917,0.698591643583196,0.431884363464973,2076.62017713477,1200.51006725694
"47","PAITA",6.51664322550399,0.281643807888031,19.0542420027816,26.035936927026,0.695727144010335,0.547656328525822,1200.31368291316,1388.21322311496
"48","PIURA",7.25990458411118,0.275028884410858,17.3076385198445,16.9560347241669,0.722399922078338,0.56893675120806,3980.82394004644,657.228428192568
"49","SECHURA",9.64214711729622,0.343088626861572,18.4612552917357,24.4685118331328,0.692684437211181,0.467311704001466,1235.83296554005,574.952178813008
"50","SULLANA",7.56880733944954,0.269894063472748,9.93834117881058,18.0619266055046,0.725989823622227,0.542190015191485,1906.99414695383,1022.71363615661
"51","TALARA",8.01414260459635,0.210803925991058,10.0287989158055,18.3017312448475,0.750070425292864,0.584521141963705,848.774214114054,670.460083694678
"52","BELLAVISTA",6.28342245989305,0.584938049316406,16.5596146126054,7.52551020408163,0.619602692091194,0.419522735202935,1787.12022649237,618.392936548263
"53","EL DORADO",5.80110497237569,0.636151313781738,17.5712719298246,41.1337209302326,0.659642506972859,0.330864304649706,1490.82748684888,402.081403308486
"54","HUALLAGA",7.16049382716049,0.56709086894989,11.8043844856661,9.28792569659443,0.659810757073883,0.408309915985017,2210.10419392203,603.984714847441
"55","LAMAS",7.05563093622795,0.612792551517487,14.9060272197019,35.5932203389831,0.658149634247103,0.364284623155073,1481.94508196386,491.011332411816
